service_date,line,estimated_boardings,ObjectId
2021-10-15 04:00:00.000000 UTC,Lowell,4121.0,4250
2021-09-21 04:00:00.000000 UTC,Lowell,3891.0,4254
2021-09-30 04:00:00.000000 UTC,Lowell,5252.0,4257
2021-10-08 04:00:00.000000 UTC,Lowell,4334.0,4264
2021-10-09 04:00:00.000000 UTC,Lowell,1300.0,4294
2021-10-10 04:00:00.000000 UTC,Lowell,1189.0,4306
2021-09-18 04:00:00.000000 UTC,Lowell,1428.0,4320
2021-09-19 04:00:00.000000 UTC,Lowell,1063.0,4332
2021-09-20 04:00:00.000000 UTC,Lowell,4972.0,4344
2021-10-01 04:00:00.000000 UTC,Lowell,3584.0,4350
2021-09-22 04:00:00.000000 UTC,Lowell,3981.0,4359
2021-10-02 04:00:00.000000 UTC,Lowell,1691.0,4372
2021-09-23 04:00:00.000000 UTC,Lowell,5141.0,4383
2021-09-24 04:00:00.000000 UTC,Lowell,3640.0,4397
2021-10-24 04:00:00.000000 UTC,Lowell,1786.0,4407
2021-10-25 04:00:00.000000 UTC,Lowell,5158.0,4419
2021-10-26 04:00:00.000000 UTC,Lowell,4226.0,4431
2021-10-27 04:00:00.000000 UTC,Lowell,4315.0,4443
2021-11-14 05:00:00.000000 UTC,Lowell,1253.0,4459
2021-11-15 05:00:00.000000 UTC,Lowell,5172.0,4471
2021-11-16 05:00:00.000000 UTC,Lowell,5044.0,4483
2021-11-17 05:00:00.000000 UTC,Lowell,5878.0,4495
2021-11-05 04:00:00.000000 UTC,Lowell,4551.0,4501
2021-10-28 04:00:00.000000 UTC,Lowell,4135.0,4507
2021-10-29 04:00:00.000000 UTC,Lowell,3937.0,4519
2021-10-30 04:00:00.000000 UTC,Lowell,1864.0,4531
2021-11-01 04:00:00.000000 UTC,Lowell,4058.0,4548
2021-10-31 04:00:00.000000 UTC,Lowell,1921.0,4573
2021-10-20 04:00:00.000000 UTC,Lowell,3980.0,4577
2021-11-10 05:00:00.000000 UTC,Lowell,6149.277,4600
2021-10-16 04:00:00.000000 UTC,Lowell,1981.0,4604
2021-11-06 04:00:00.000000 UTC,Lowell,1087.0,4612
2021-10-17 04:00:00.000000 UTC,Lowell,1151.0,4629
2021-10-18 04:00:00.000000 UTC,Lowell,3708.0,4641
2021-10-19 04:00:00.000000 UTC,Lowell,4395.0,4653
2021-11-02 04:00:00.000000 UTC,Lowell,4267.0,4657
2021-10-21 04:00:00.000000 UTC,Lowell,4722.0,4675
2021-11-03 04:00:00.000000 UTC,Lowell,4372.0,4677
2021-11-11 05:00:00.000000 UTC,Lowell,5664.0,4711
2021-11-07 04:00:00.000000 UTC,Lowell,1503.0,4714
2021-11-12 05:00:00.000000 UTC,Lowell,5732.0,4726
2021-11-13 05:00:00.000000 UTC,Lowell,1151.0,4738
2021-11-08 05:00:00.000000 UTC,Lowell,6084.0,4753
2021-11-09 05:00:00.000000 UTC,Lowell,4963.0,4765
2021-10-22 04:00:00.000000 UTC,Lowell,4199.0,4769
2021-10-23 04:00:00.000000 UTC,Lowell,1476.0,4781
2021-11-04 04:00:00.000000 UTC,Lowell,4772.0,4789
2021-12-05 05:00:00.000000 UTC,Lowell,1356.0,4811
2021-12-06 05:00:00.000000 UTC,Lowell,3924.0,4823
2021-12-07 05:00:00.000000 UTC,Lowell,5025.0,4835
2021-12-08 05:00:00.000000 UTC,Lowell,3121.0,4847
2021-11-22 05:00:00.000000 UTC,Lowell,5655.0,4858
2021-11-23 05:00:00.000000 UTC,Lowell,5095.0,4870
2021-11-24 05:00:00.000000 UTC,Lowell,4595.174,4882
2021-11-30 05:00:00.000000 UTC,Lowell,3539.0,4893
2021-11-26 05:00:00.000000 UTC,Lowell,3634.0,4906
2021-11-25 05:00:00.000000 UTC,Lowell,1725.0,4909
2021-12-17 05:00:00.000000 UTC,Lowell,3170.0,4918
2021-12-13 05:00:00.000000 UTC,Lowell,3346.0,4932
2021-12-14 05:00:00.000000 UTC,Lowell,3686.0,4944
2021-12-15 05:00:00.000000 UTC,Lowell,2639.0,4956
2021-12-16 05:00:00.000000 UTC,Lowell,3364.0,4968
2021-11-27 05:00:00.000000 UTC,Lowell,1272.0,4990
2021-11-18 05:00:00.000000 UTC,Lowell,5823.0,5003
2021-11-28 05:00:00.000000 UTC,Lowell,1744.0,5006
2021-12-09 05:00:00.000000 UTC,Lowell,3787.0,5009
2021-12-01 05:00:00.000000 UTC,Lowell,3544.0,5030
2021-11-29 05:00:00.000000 UTC,Lowell,4726.0,5054
2021-12-10 05:00:00.000000 UTC,Lowell,4034.0,5067
2021-12-11 05:00:00.000000 UTC,Lowell,1311.0,5079
2021-12-12 05:00:00.000000 UTC,Lowell,1541.0,5091
2021-12-18 05:00:00.000000 UTC,Lowell,788.0,5096
2021-11-19 05:00:00.000000 UTC,Lowell,6032.0,5109
